,source_sentence,human,time,location,label,augmentation
413,"Fukushima accepted to work for Kaminagai, and in 1946 he moved to Santa Teresa.",Kaminagai,1946,Santa Teresa,start position,"In 1946, Fukushima relocated to Santa Teresa after accepting to work for Kaminagai."
414,"During the summer of 1349 he raided the outskirts of Alcaraz and Quesada, and besieged Écija.",he,the summer of 1349,Alcaraz,military action,"During the summer of 1349, he besieged Écija and raided the outskirts of Alcaraz and Quesada."
415,"Professor Goodwin has been the head of  Oxford University""s Department of Psychiatry since 2006, and a fellow of Merton College, Oxford since 1996.",Goodwin,2006,Oxford,start position,"Since 2006, Professor Goodwin has been the head of Oxford University""s Department of Psychiatry, and a fellow of Merton College, Oxford since 1996."
416,"In 1981, Heng Pov married Tung Thi Van, the daughter of Tung Pov, Vietnamese government agent based in Phnom Penh.",Tung Thi Van,1981,Phnom Penh,marry,"In 1981, Heng Pov married Tung Thi Van, the daughter of Tung Pov, Vietnamese government agent based in Phnom Penh."
417,"He was moved into Alcide on 15 July 1779, in the fleet of Admiral Rodney, then bound for Gibraltar.",He,15 July 1779,Alcide,military action,"On 15 July 1779, he was transferred to Alcide, in the fleet of Admiral Rodney, then bound for Gibraltar."
418,"He then studied law, was admitted to the bar in 1840, and began practice in Beverly.",He,1840,Beverly,start position,"After being admitted to the bar in 1840, he began practicing law in Beverly after studying law."
419,"Mackenzie Trench married Dorothy Olare Buswell Booth on 31 August 1912 at the Church of Emmanuel, East Dulwich.",Mackenzie Trench,31 August 1912,Church of Emmanuel,marry,"Dorothy Olare Buswell Booth became the spouse of Mackenzie Trench on 31 August 1912 at the Church of Emmanuel, East Dulwich."
420,His family had lived in the area since Martin Blackford emigrated from Scotland in 1751.,Martin Blackford,1751,Scotland,settlement,The area had been home to his family since Martin Blackford emigrated from Scotland in 1751.
421,"Antonin Personnaz was born in 1854 (1855, according to James) in Bayonne into a wealthy family of fabric exporters of Sephardic origin, from the commune of Bessans.",James,1854,Bayonne,birth,"Antonin Personnaz was born in 1854 (1855, according to James) in Bayonne into a wealthy family of fabric exporters of Sephardic origin, from the commune of Bessans."
422,"Cláudio Salvador Lembo (Portuguese pronunciation: [ˈklawdju ˈlẽbu]; born 12 October 1934 in São Paulo) is a Brazilian lawyer, politician and university professor from Neapolitan background.",Cláudio Salvador Lembo,12 October 1934,São Paulo,birth,"Cláudio Salvador Lembo (Portuguese pronunciation: [ˈklawdju ˈlẽbu]; born 12 October 1934 in São Paulo) is a Brazilian lawyer, politician and university professor from Neapolitan background."
423,"He received his MS and Ph.D degree in Computer Science from the University of Texas at Austin in 1994 and 1998, where he was advised by Harrick M. Vin.",He,1994,University of Texas at Austin,education,"He received his MS and Ph.D degree in Computer Science from the University of Texas at Austin in 1994 and 1998, where he was advised by Harrick M. Vin."
424,"He matriculated at Christ Church, Oxford, in 1547, where he took his MA on 17 February 1554, amongst a very distinguished cohort that included : Lawrence Humphrey, John ab Ulmis, and James Calfhill.",he,17 February 1554,Oxford,education,"He matriculated at Christ Church, Oxford, in 1547, where he took his MA on 17 February 1554, amongst a very distinguished cohort that included: Lawrence Humphrey, John ab Ulmis, and James Calfhill."
425,"He was born at Hinton, near Peterchurch, Herefordshire on 26 May 1827, and was apprenticed at the age of 12 years to a drapery establishment in Hereford, and in 1845 he proceeded to London, where he worked for Goode, Gainsborough and Co. and was, with later fellow-Adelaidean R. A. Tarlton, one of the first members of YMCA and closely identified with its founder Sir George Williams.",he,1845,London,start position,"He was born at Hinton, near Peterchurch, Herefordshire on 26 May 1827, and was apprenticed at the age of 12 years to a drapery establishment in Hereford, and in 1845 he proceeded to London, where he worked for Goode, Gainsborough and Co. and was, with later fellow-Adelaidean R. A. Tarlton, one of the first members of YMCA and closely identified with its founder Sir George Williams."
426,"She received an athletic scholarship to attend the University of Florida in Gainesville, Florida, where she was a member of the Florida Gators track and field team in National Collegiate Athletics Association (NCAA) competition from 1989 to 1992.",She,1989 to 1992,Gainesville,competition,"She received an athletic scholarship to attend the University of Florida in Gainesville, Florida, where she was a member of the Florida Gators track and field team in National Collegiate Athletics Association (NCAA) competition from 1989 to 1992."
427,"She graduated the Kathak Examination from  Prayag Sangeet Samiti, Allahabad at the age of 11.",She,the age of 11,Allahabad,education,"She graduated the Kathak Examination from  Prayag Sangeet Samiti, Allahabad at the age of 11."
428,"Sasnal finished his studies in 1999, and then worked briefly for advertising companies in Kraków while also making paintings, graphic novels (his strips are regularly published in Machina and Przekroj, two Polish periodicals), photographs, and films.",Sasnal,1999,Kraków,position held,"Sasnal finished his studies in 1999, and then worked briefly for advertising companies in Kraków while also making paintings, graphic novels (his strips are regularly published in Machina and Przekroj, two Polish periodicals), photographs, and films."
429,He was Surrogate of Livingston County from 1836 to 1840 and from 1844 to 1847.,He,1836 to 1840,Livingston County,position held,He was Surrogate of Livingston County from 1836 to 1840 and from 1844 to 1847.
430,He completed his secondary school studies in Brno at Gymnázium třída Kapitána Jaroše in 1948.,He,1948,Brno,education,His secondary school studies were completed in Brno at Gymnázium třída Kapitána Jaroše in 1948.
431,"For the fourth time in 2012, he started from the reversed grid pole at Suzuka; he led from start to finish to claim his second win of the season ahead of independent rival Pepe Oriola and Gabriele Tarquini.",he,2012,Suzuka,competition,"Starting from the reversed grid pole at Suzuka for the fourth time in 2012, he led from start to finish to claim his second win of the season ahead of independent rival Pepe Oriola and Gabriele Tarquini."
432,In 1971 Wilson took a PhD in History from the University of North Carolina.,Wilson,1971,University of North Carolina,education,In 1971 Wilson earned a PhD in History from the University of North Carolina.
433,"During his time in Argentina he had a daughter, Rosamund Ann Staniforth, on 4 April 1928; she would go on to marry Charles Edward Byron Du Cane, son of Charles Henry Copley Du Cane, and grandson of Charles Du Cane.",Rosamund Ann Staniforth,4 April 1928,Argentina,birth,"During his time in Argentina, a daughter, Rosamund Ann Staniforth, was born on 4 April 1928; she would go on to marry Charles Edward Byron Du Cane, son of Charles Henry Copley Du Cane, and grandson of Charles Du Cane."
434,"On 15 June 1927, Missoffe was born in the 9th arrondissement of Paris.",Missoffe,15 June 1927,Paris,birth,"Born on 15 June 1927, Missoffe was born in the 9th arrondissement of Paris."
435,"In 1985, the Vatican hosted a colloquium on ""Adrienne von Speyr e la sua missione ecclesiale"" [Adrienne von Speyr and her ecclesial mission], with presentations by Angelo Scola, Antonio Sicari, Marc Ouellet, Joseph Fessio, SJ and others.",Joseph Fessio,1985,Vatican,assembly,"In 1985, a colloquium on ""Adrienne von Speyr e la sua missione ecclesiale"" [Adrienne von Speyr and her ecclesial mission] was hosted by the Vatican, with presentations by Angelo Scola, Antonio Sicari, Marc Ouellet, Joseph Fessio, SJ and others."
436,"On August 16, 2022, he was called up to the United States men""s national under-17 soccer team.",he,"August 16, 2022",United States,start position,"He was called up to the United States men""s national under-17 soccer team on August 16, 2022."
437,He won the Liverpool Senior City Scholarship in 1966 which enabled him to study in Paris at Atelier 17 under S.W. Hayter.,He,1966,Paris,education,"In 1966, he won the Liverpool Senior City Scholarship which enabled him to study in Paris at Atelier 17 under S.W. Hayter."
438,Banfield was a government delegate representing the work people at Geneva from 1924 to 1925.,Banfield,1924 to 1925,Geneva,position held,Banfield represented the work people at Geneva as a government delegate from 1924 to 1925.
439,"He received his episcopal consecration on the following 21 September from Pope John himself, with Archbishops Francesco Carpino and Pietro Parente serving as co-consecrators, in the Lateran Basilica.",Francesco Carpino,the following 21 September,Lateran Basilica,ceremony,"His episcopal consecration was received on the following 21 September from Pope John himself, with Archbishops Francesco Carpino and Pietro Parente serving as co-consecrators, in the Lateran Basilica."
440,"On 15 May, they led a crowd, demonstrating against the government; the riot was bloodily suppressed by the bourgeois National Guards, and Albert and Barbès were captured at the Hôtel de Ville.",Barbès,15 May,Hôtel de Ville,arrest-jail,"A crowd was led by them on 15 May to demonstrate against the government; the bourgeois National Guards bloodily suppressed the riot, and Albert and Barbès were captured at the Hôtel de Ville."
441,"In the 1950s, Nakdimen attended the University of Kentucky as a Journalism student, where he performed research, collecting folklore in 1954 for William Hugh Jansen.",Nakdimen,1954,University of Kentucky,education,"In the 1950s, Nakdimen attended the University of Kentucky as a Journalism student, where he conducted research, collecting folklore in 1954 for William Hugh Jansen."
442,"He was born near Rochester, Kent, England, in 1852.",He,1852,Rochester,birth,"He was born near Rochester, Kent, England, in 1852."
443,"On October 10, 2020 Madman Pondo defeated Poindexter in Erie, Michigan",Pondo,"October 10, 2020",Erie,competition,"On October 10, 2020 Madman Pondo defeated Poindexter in Erie, Michigan"
